signal_date,execution_date,pre_trade_nav,end_nav,total_cost,buy_scale,attempted_order_count,executed_order_count,blocked_order_count,replacement_buy_count
2024-08-07,2024-08-08,0.799105362060371,0.79866925872489,0.00043610333548089786,1.0,64,64,0,0
2024-08-08,2024-08-09,0.8092821386438845,0.809102891440945,0.00017924720293951114,1.0,26,26,0,0
2024-08-09,2024-08-12,0.7967426220980844,0.796498909123993,0.00024371297409130923,1.0,36,36,0,0
2024-08-12,2024-08-13,0.79701567090829,0.7967971164304775,0.00021855447781261983,1.0,32,32,0,0
2024-08-13,2024-08-14,0.8041426050632997,0.8038562107174978,0.000286394345801966,1.0,42,42,0,0
2024-08-14,2024-08-15,0.7908528444049024,0.7906516880932124,0.00020115631169011184,1.0,30,30,0,0
2024-08-15,2024-08-16,0.7967902444644984,0.7965841325603753,0.0002061119041229757,1.0,30,30,0,0
2024-08-16,2024-08-19,0.79501700430516,0.7947578574145187,0.00025914689064125576,1.0,38,38,0,0
2024-08-19,2024-08-20,0.7937296144956579,0.7935121361408242,0.00021747835483387177,1.0,32,32,0,0
2024-08-20,2024-08-21,0.7738362564357919,0.7736144779161253,0.00022177851966662153,1.0,34,34,0,0
2024-08-21,2024-08-22,0.7716730340219993,0.7715162936734989,0.00015674034850032795,1.0,24,24,0,0
2024-08-22,2024-08-23,0.7614432600711722,0.7612582989084341,0.00018496116273814263,1.0,28,28,0,0
2024-08-23,2024-08-26,0.7620462504461795,0.7618101124393978,0.00023613800678182358,1.0,36,36,0,0
2024-08-26,2024-08-27,0.7605206032209216,0.7603152313953028,0.00020537182561883007,1.0,32,32,0,0
2024-08-27,2024-08-28,0.7520383187430435,0.7518469236773239,0.00019139506571968026,1.0,30,30,0,0
2024-08-28,2024-08-29,0.7515444223845485,0.7512922668333049,0.00025215555124390897,1.0,40,40,0,0
2024-08-29,2024-08-30,0.7700205922853376,0.7697312370747526,0.00028935521058490133,1.0,44,44,0,0
2024-08-30,2024-09-02,0.7897001716529141,0.789515596329714,0.00018457532320009256,1.0,28,28,0,0
2024-09-02,2024-09-03,0.7598085977621372,0.7593169957759276,0.0004916019862092891,1.0,76,76,0,0
2024-09-03,2024-09-04,0.7607134552075319,0.7603641226502954,0.00034933255723646714,1.0,54,54,0,0
2024-09-04,2024-09-05,0.7684379917119692,0.7682823844449327,0.0001556072670365444,1.0,24,24,0,0
2024-09-05,2024-09-06,0.7741321755600653,0.7739348074427654,0.0001973681172998876,1.0,30,30,0,0
2024-09-06,2024-09-09,0.7510818086085216,0.7508109039929931,0.00027090461552845165,1.0,42,42,0,0
2024-09-09,2024-09-10,0.7529388895256015,0.7527170811684997,0.00022180835710185914,1.0,34,34,0,0
2024-09-10,2024-09-11,0.7480715020637072,0.7479436456462281,0.00012785641747917046,1.0,20,20,0,0
2024-09-11,2024-09-12,0.7539009233721389,0.7537721885384532,0.00012873483368577103,1.0,20,20,0,0
2024-09-12,2024-09-13,0.7410719712114416,0.7408819607776951,0.00019001043374661518,1.0,30,30,0,0
2024-09-13,2024-09-18,0.7321322830175416,0.73200740003764,0.00012488297990173076,1.0,20,20,0,0
2024-09-18,2024-09-19,0.7300905424990507,0.7299408414187909,0.0001497010802598172,1.0,24,24,0,0
2024-09-19,2024-09-20,0.7338346735782143,0.7336095506837677,0.00022512289444658076,1.0,36,36,0,0
2024-09-20,2024-09-23,0.7253545838218536,0.7251204115372205,0.00023417228463315333,1.0,38,38,0,0
2024-09-23,2024-09-24,0.7267529310727986,0.726628950051293,0.00012398102150552555,1.0,20,20,0,0
2024-09-24,2024-09-25,0.7604639881710609,0.7600784340887095,0.00038555408235152797,1.0,60,60,0,0
2024-09-25,2024-09-26,0.7570329117055412,0.7565822650719077,0.0004506466336336377,1.0,70,70,0,0
2024-09-26,2024-09-27,0.8033245326831114,0.802708334257284,0.00061619842582722,1.0,92,92,0,0
2024-09-27,2024-09-30,0.8725930097648988,0.8721107544210203,0.0004822553438784815,1.0,66,66,0,0
2024-09-30,2024-10-08,1.0546549348474024,1.0535350924851352,0.001119842362267617,1.0,148,113,35,0
2024-10-08,2024-10-09,1.007054007047774,1.006508311775799,0.0005456952719750433,1.0,75,75,0,0
2024-10-09,2024-10-10,0.9474333237350075,0.9468715425501474,0.0005617811848601782,1.0,70,70,0,0
2024-10-10,2024-10-11,0.9405592668976408,0.9399424850992326,0.0006167817984081546,1.0,78,78,0,0
2024-10-11,2024-10-14,0.9068144142647564,0.9059697656568156,0.0008446486079412643,1.0,110,110,0,0
2024-10-14,2024-10-15,0.9184084759842012,0.9178464483861203,0.0005620275980810888,1.0,72,72,0,0
2024-10-15,2024-10-16,0.8905939202832672,0.8897305081500786,0.0008634121331880613,1.0,114,114,0,0
2024-10-16,2024-10-17,0.9080413235171936,0.9072988911090858,0.0007424324081080782,1.0,96,96,0,0
2024-10-17,2024-10-18,0.8931541180680749,0.8927439166678379,0.0004102014002368856,1.0,54,54,0,0
2024-10-18,2024-10-21,0.9213163100960672,0.9206074490936285,0.0007088610024387108,0.9956953842174044,92,91,1,0
2024-10-21,2024-10-22,0.9245342229422017,0.9239030994682664,0.0006311234739354848,1.0,81,80,1,0
2024-10-22,2024-10-23,0.9387796337840459,0.9384443442015918,0.0003352895824540319,1.0,43,42,1,0
2024-10-23,2024-10-24,0.9422205955591806,0.9418516664368816,0.00036892912229898847,1.0,47,46,1,0
2024-10-24,2024-10-25,0.9421023265445247,0.9417009709431035,0.0004013556014212658,1.0,51,50,1,0
2024-10-25,2024-10-28,0.9612604020831853,0.9606810252903519,0.0005793767928333774,1.0,71,71,0,0
2024-10-28,2024-10-29,0.9792052131175643,0.9787523207834975,0.0004528923340666679,1.0,54,54,0,0
2024-10-29,2024-10-30,0.9512101830291793,0.9507348170968954,0.0004753659322836678,1.0,60,59,1,0
2024-10-30,2024-10-31,0.9505314039271291,0.9501818378899539,0.00034956603717524785,1.0,43,43,0,0
2024-10-31,2024-11-01,0.956939682826821,0.9564964104365415,0.0004432723902793167,1.0,54,54,0,0
2024-11-01,2024-11-04,0.9538962332961862,0.953087198542041,0.0008090347541449244,1.0,100,100,0,0
2024-11-04,2024-11-05,0.9741915287521402,0.9731327367173791,0.0010587920347616296,1.0,128,128,0,0
2024-11-05,2024-11-06,1.0013819922229887,1.000697670568244,0.0006843216547444504,1.0,82,81,1,0
2024-11-06,2024-11-07,0.9993151578271869,0.998306673846293,0.0010084839808944296,1.0,119,118,1,0
2024-11-07,2024-11-08,1.0443156190481306,1.043892715392728,0.0004229036554029348,1.0,49,47,2,0
