asset_type,stock_code,units,last_mark,market_value
position,600557.XSHG,9.890681029627262e-05,129.543476,0.012812732005851745
position,600572.XSHG,0.0001591769675022123,76.46523600000002,0.012171504385820996
position,600587.XSHG,0.00011361556097952985,112.228695,0.012750926140425558
position,600621.XSHG,4.165978835877843e-06,3047.3156,0.01269505229584039
position,600639.XSHG,0.00032184771347643895,39.9222838,0.012848895757787481
position,600645.XSHG,4.1544870096775094e-05,305.246928,0.012681443971199661
position,600664.XSHG,0.0003704646362946125,33.2847036,0.01233080561334798
position,600675.XSHG,0.00010956439776741198,114.808879,0.012578965685986673
position,600717.XSHG,8.783415991571256e-05,143.037106,0.012563544042284729
position,600740.XSHG,0.00024840522329174636,49.182072000000005,0.012217083577110748
position,600771.XSHG,9.084174750400308e-05,133.06036360000002,0.012087435952942044
position,600782.XSHG,0.0002444860257034427,52.154008,0.012750926140425556
position,600787.XSHG,6.645520451662125e-05,189.12424,0.01256829004825056
position,600789.XSHG,0.00046743111191253656,26.389723199999995,0.012335377658440061
position,600812.XSHG,0.0005747962901257354,21.3998281,0.012300541801208466
position,600903.XSHG,0.0013010466639189258,9.6365815,0.012537642212157838
position,600971.XSHG,0.0001370521368661795,87.033406,0.011928114271041767
position,600997.XSHG,0.0003511075209860402,30.402857800000003,0.010674672033049098
position,601003.XSHG,0.000455652186761716,27.983902,0.012750926140425558
position,601022.XSHG,0.0013127425789045317,9.6043516,0.012608041288089865
position,601101.XSHG,0.0003581496578678743,34.67013,0.012417095197734726
position,601326.XSHG,0.0030002057027922113,4.2500173000000006,0.012750926140425558
position,601528.XSHG,0.001589857586483993,8.300287500000001,0.013196275051873258
position,601860.XSHG,0.003791722661465203,3.4222796,0.01297633511319007
position,603108.XSHG,0.00015150013496702014,84.16445399999999,0.012750926140425558
position,603323.XSHG,0.001208310785859813,10.329068,0.012480724272279446
position,603456.XSHG,0.00016882139865746394,75.5290872,0.012750926140425558
position,603567.XSHG,0.0005621372915027813,20.0115,0.01124921040890791
position,603713.XSHG,0.00022039579647255473,57.8546703,0.012750926140425558
position,603866.XSHG,0.000575531998657307,21.8252128,0.01256110834390504
position,603883.XSHG,0.00031302957900507716,40.292044,0.012612601570574044
position,603888.XSHG,0.00018769866286135205,68.1448138,0.012790690431195809
position,605011.XSHG,0.0006043899603702179,20.818268,0.012582352171496575
cash,CASH,1.0,0.01856247043103364,0.01856247043103364
