signal_date,execution_date,pre_trade_nav,end_nav,total_cost,buy_scale,attempted_order_count,executed_order_count,blocked_order_count,replacement_buy_count
2024-04-02,2024-04-03,0.9569728852079192,0.9565959439581083,0.00037694124981084675,1.0,46,46,0,0
2024-04-03,2024-04-08,0.9543703729407129,0.9540472902551315,0.00032308268558157993,1.0,40,40,0,0
2024-04-08,2024-04-09,0.9373539004662977,0.9370023630205148,0.0003515374457829479,1.0,44,44,0,0
2024-04-09,2024-04-10,0.9511415492821452,0.9507840982118363,0.00035745107030882626,1.0,44,44,0,0
2024-04-10,2024-04-11,0.9331571978817739,0.9326019479063307,0.0005552499754430675,1.0,70,70,0,0
2024-04-11,2024-04-12,0.9422478137244755,0.9418764526033787,0.0003713611210970422,1.0,46,46,0,0
2024-04-12,2024-04-15,0.9342454962227265,0.9333162764473241,0.0009292197754024597,1.0,118,118,0,0
2024-04-15,2024-04-16,0.9129595762061311,0.9121672585687889,0.0007923176373427211,1.0,102,102,0,0
2024-04-16,2024-04-17,0.883341574086042,0.8830244647448764,0.00031710934116572923,1.0,42,42,0,0
2024-04-17,2024-04-18,0.9175822334952864,0.9168337266949083,0.0007485068003777978,1.0,96,96,0,0
2024-04-18,2024-04-19,0.9156561479232457,0.91507607784347,0.0005800700797756881,1.0,74,74,0,0
2024-04-19,2024-04-22,0.9088236188652403,0.9082519822625217,0.0005716366027188534,1.0,74,74,0,0
2024-04-22,2024-04-23,0.9174730813232682,0.9170492311018774,0.0004238502213908143,1.0,54,54,0,0
2024-04-23,2024-04-24,0.918945628716973,0.9183562795460231,0.0005893491709497505,1.0,76,76,0,0
2024-04-24,2024-04-25,0.9287317550761195,0.9277344167128148,0.0009973383633053562,1.0,126,126,0,0
2024-04-25,2024-04-26,0.9338128979811658,0.9333366368336052,0.0004762611475605542,1.0,60,60,0,0
2024-04-26,2024-04-29,0.9534714453140511,0.9524983362475545,0.0009731090664962155,1.0,120,120,0,0
2024-04-29,2024-04-30,0.9738869545827206,0.9734234259398332,0.00046352864288725976,1.0,56,56,0,0
2024-04-30,2024-05-06,0.9818737567995995,0.9813711195143955,0.0005026372852038485,1.0,60,60,0,0
2024-05-06,2024-05-07,0.9862590347977102,0.9859218764414399,0.00033715835627015845,0.9267231905397698,44,42,2,0
2024-05-07,2024-05-08,0.9858783328147575,0.985631996715767,0.00024633609899053126,0.9787833439299933,32,30,2,0
2024-05-08,2024-05-09,0.9726346054937527,0.9721517423740921,0.00048286311966068857,0.9723579192962715,62,60,2,0
2024-05-09,2024-05-10,0.9853878380950808,0.9849791974867227,0.00040864060835800985,0.9746920132433352,52,50,2,0
2024-05-10,2024-05-13,0.9712215393015184,0.9709120214081083,0.00030951789341017536,0.9855687991674251,40,38,2,0
2024-05-13,2024-05-14,0.9658698668540524,0.965607936857789,0.0002619299962633538,0.9959091640902887,34,32,2,0
2024-05-14,2024-05-15,0.968472440835071,0.9681930583745219,0.0002793824605491514,0.9970938589620263,36,34,2,0
2024-05-15,2024-05-16,0.9629222004368779,0.9626688983103938,0.0002533021264841632,1.0,32,31,1,0
2024-05-16,2024-05-17,0.9629902332304386,0.9625964547440213,0.0003937784864174522,1.0,49,48,1,0
2024-05-17,2024-05-20,0.9776363396583942,0.9772554110607733,0.0003809285976208646,1.0,47,46,1,0
2024-05-20,2024-05-21,0.9788585014531122,0.9786071546374929,0.0002513468156192885,1.0,31,30,1,0
2024-05-21,2024-05-22,0.971726774642052,0.9713458504622448,0.00038092417980729355,1.0,47,46,1,0
2024-05-22,2024-05-23,0.9757360357592565,0.9753303437820002,0.0004056919772563884,1.0,49,49,0,0
2024-05-23,2024-05-24,0.954035513330052,0.9536771568334076,0.0003583564966444325,1.0,44,44,0,0
2024-05-24,2024-05-27,0.9483198669489228,0.947824163089271,0.0004957038596517954,1.0,62,62,0,0
