asset_type,stock_code,units,last_mark,market_value
position,301508.XSHE,0.00042311087302227446,31.7137132,0.01341841687883003
position,600017.XSHG,0.0012105935235366383,10.9144568,0.013212970715000423
position,600059.XSHG,0.00017435486436960868,76.300894,0.013303432024649888
position,600123.XSHG,0.00016026678322534233,76.600458,0.01227650899724794
position,600197.XSHG,0.00021975139638521034,59.72932,0.013125601475139073
position,600210.XSHG,0.00019101570709682432,72.189948,0.013789413962502979
position,600216.XSHG,0.00014595765797412766,91.5644125,0.01336452720227694
position,600248.XSHG,0.0008542495063997684,15.2770816,0.013050439416028984
position,600273.XSHG,0.0007355860703936515,18.2532724,0.013426852916540897
position,600305.XSHG,0.00015527935812400338,79.486624,0.012342631954164003
position,600395.XSHG,0.0004228939862613011,31.419435199999995,0.013287090197806639
position,600420.XSHG,0.00013367226471700823,99.9095988,0.013355142338563688
position,600422.XSHG,9.647659572929633e-05,138.13032,0.013326343040598336
position,600458.XSHG,0.00011500402922892767,116.03136000000002,0.013344073916912232
position,600502.XSHG,0.00017524956874667762,76.01355000000001,0.013321341856404018
position,600508.XSHG,0.0002793444666229254,46.6240104,0.013024159317009728
position,600587.XSHG,0.00011686444751873619,112.228695,0.01311554443692375
position,600597.XSHG,0.0006029255996703418,21.65211,0.013054611405878205
position,600621.XSHG,4.493160879456089e-06,3047.3156,0.013692079241276259
position,600639.XSHG,0.0003310207431392973,39.9222838,0.013215104051293931
position,600717.XSHG,9.134691051389178e-05,143.037106,0.013065997721948053
position,600718.XSHG,7.633818906109566e-05,175.544526,0.013400751214428422
position,600740.XSHG,0.00026892803596752733,49.182072000000005,0.01322643802777352
position,600771.XSHG,9.999656053183576e-05,133.06036360000002,0.013305578703115477
position,600787.XSHG,6.976908787758455e-05,189.12424,0.01319502572034139
position,600789.XSHG,0.0005062435637454146,26.389723199999995,0.013359627519023044
position,600812.XSHG,0.0006183305773693397,21.3998281,0.01323216806467762
position,600821.XSHG,0.0005519787488133273,23.4122427,0.012923060432459955
position,600861.XSHG,0.00028800348578341794,43.534389,0.012538055783451286
position,600866.XSHG,0.00012713736193017974,104.366655,0.013268901190177202
position,600872.XSHG,6.560562008193105e-05,207.32541,0.01360171208179059
position,600894.XSHG,0.00033313214213089975,41.03185920000001,0.013669031150909469
position,600903.XSHG,0.0013681438270626445,9.6365815,0.01318422949321108
position,600908.XSHG,0.001688475470923546,7.9365981,0.013400751214428422
position,600916.XSHG,0.0014168167491405653,9.3174148,0.01320106934733019
position,600971.XSHG,0.0001399937383220733,87.033406,0.012184131864842764
position,600975.XSHG,0.0002910857271466542,43.3899286,0.012630188917372408
position,600997.XSHG,0.0004146115551491194,30.402857800000003,0.012605376153435537
position,601033.XSHG,0.0008084701019014453,16.1586027,0.01306374717145397
position,601101.XSHG,0.0003884054691606919,34.67013,0.013466068108512178
position,601200.XSHG,0.0009935629295753444,13.3933198,0.013307106057227465
position,601222.XSHG,0.00042194662218254407,31.2181723,0.013172402352697662
position,601311.XSHG,0.00044903082107266873,30.2380042,0.013577795853524805
position,601375.XSHG,0.0028886529421010363,4.6007038,0.013289836567605417
position,601801.XSHG,0.0007481984614225672,17.888257199999998,0.013383966514571159
position,601860.XSHG,0.003869849564672659,3.4222796,0.013243707220248122
position,601882.XSHG,0.0006330712452188638,21.651297,0.01370681355239345
position,603118.XSHG,0.00045443475372556566,29.7965376,0.013540582226130558
position,603219.XSHG,0.0005255831370997685,24.748166,0.013007218723745832
position,603229.XSHG,0.0002894080298228237,45.7448376,0.013238923324381025
position,603323.XSHG,0.00126341220204836,10.329068,0.013049870546987249
position,603393.XSHG,0.0001755374093903999,76.47021,0.013423382558939852
position,603693.XSHG,0.0007653893271072826,16.849574,0.012896484105904363
position,603888.XSHG,0.00019665107976901425,68.1448138,0.013400751214428422
position,605011.XSHG,0.000640111851831674,20.818268,0.013326020081408079
cash,CASH,1.0,0.016311630386003112,0.016311630386003112
